x_value,pid,name,create_time,Upload,Download,Upload Speed,Download Speed0,15572,voovmeetingapp.exe,2022-08-15 17:10:23.037486,66.00B,0.00B,66.00B/s,0.00B/s
28,15572,voovmeetingapp.exe,2022-08-15 17:10:23.037486,70.55KB,14.93KB,70.55KB/s,14.93KB/s
28,18780,voovmeetingapp.exe,2022-08-15 17:10:23.037486,1.16KB,1.73KB,1.16KB/s,1.73KB/s
28,14920,voovmeetingapp.exe,2022-08-15 17:10:23.037486,555.00B,828.00B,555.00B/s,828.00B/s
28,6104,voovmeetingapp.exe,2022-08-15 17:10:23.037486,152.00B,229.00B,152.00B/s,229.00B/s
29,15572,voovmeetingapp.exe,2022-08-15 17:10:23.037486,70.55KB,14.93KB,70.55KB/s,14.93KB/s
29,18780,voovmeetingapp.exe,2022-08-15 17:10:23.037486,1.16KB,1.73KB,1.16KB/s,1.73KB/s
29,14920,voovmeetingapp.exe,2022-08-15 17:10:23.037486,555.00B,828.00B,555.00B/s,828.00B/s
29,6104,voovmeetingapp.exe,2022-08-15 17:10:23.037486,152.00B,229.00B,152.00B/s,229.00B/s
30,15572,voovmeetingapp.exe,2022-08-15 17:10:23.037486,70.66KB,14.99KB,70.66KB/s,14.99KB/s
30,18780,voovmeetingapp.exe,2022-08-15 17:10:23.037486,1.16KB,1.73KB,1.16KB/s,1.73KB/s
30,14920,voovmeetingapp.exe,2022-08-15 17:10:23.037486,555.00B,828.00B,555.00B/s,828.00B/s
30,6104,voovmeetingapp.exe,2022-08-15 17:10:23.037486,152.00B,229.00B,152.00B/s,229.00B/s
31,15572,voovmeetingapp.exe,2022-08-15 17:10:23.037486,70.66KB,14.99KB,70.66KB/s,14.99KB/s
31,18780,voovmeetingapp.exe,2022-08-15 17:10:23.037486,1.16KB,1.73KB,1.16KB/s,1.73KB/s
31,14920,voovmeetingapp.exe,2022-08-15 17:10:23.037486,555.00B,828.00B,555.00B/s,828.00B/s
31,6104,voovmeetingapp.exe,2022-08-15 17:10:23.037486,152.00B,229.00B,152.00B/s,229.00B/s
32,15572,voovmeetingapp.exe,2022-08-15 17:10:23.037486,70.66KB,14.99KB,70.66KB/s,14.99KB/s
32,18780,voovmeetingapp.exe,2022-08-15 17:10:23.037486,1.16KB,1.73KB,1.16KB/s,1.73KB/s
32,14920,voovmeetingapp.exe,2022-08-15 17:10:23.037486,555.00B,828.00B,555.00B/s,828.00B/s
32,6104,voovmeetingapp.exe,2022-08-15 17:10:23.037486,152.00B,229.00B,152.00B/s,229.00B/s
33,15572,voovmeetingapp.exe,2022-08-15 17:10:23.037486,70.66KB,14.99KB,70.66KB/s,14.99KB/s
33,18780,voovmeetingapp.exe,2022-08-15 17:10:23.037486,1.16KB,1.73KB,1.16KB/s,1.73KB/s
33,14920,voovmeetingapp.exe,2022-08-15 17:10:23.037486,3.37KB,828.00B,3.37KB/s,828.00B/s
33,6104,voovmeetingapp.exe,2022-08-15 17:10:23.037486,152.00B,229.00B,152.00B/s,229.00B/s
34,15572,voovmeetingapp.exe,2022-08-15 17:10:23.037486,70.66KB,14.99KB,70.66KB/s,14.99KB/s
34,18780,voovmeetingapp.exe,2022-08-15 17:10:23.037486,1.16KB,1.73KB,1.16KB/s,1.73KB/s
34,14920,voovmeetingapp.exe,2022-08-15 17:10:23.037486,6.05KB,1.20KB,6.05KB/s,1.20KB/s
34,6104,voovmeetingapp.exe,2022-08-15 17:10:23.037486,152.00B,229.00B,152.00B/s,229.00B/s
35,15572,voovmeetingapp.exe,2022-08-15 17:10:23.037486,70.66KB,14.99KB,70.66KB/s,14.99KB/s
35,18780,voovmeetingapp.exe,2022-08-15 17:10:23.037486,1.16KB,1.73KB,1.16KB/s,1.73KB/s
35,14920,voovmeetingapp.exe,2022-08-15 17:10:23.037486,6.10KB,1.31KB,6.10KB/s,1.31KB/s
35,6104,voovmeetingapp.exe,2022-08-15 17:10:23.037486,152.00B,229.00B,152.00B/s,229.00B/s
36,15572,voovmeetingapp.exe,2022-08-15 17:10:23.037486,70.66KB,14.99KB,70.66KB/s,14.99KB/s
36,18780,voovmeetingapp.exe,2022-08-15 17:10:23.037486,1.16KB,1.73KB,1.16KB/s,1.73KB/s
36,14920,voovmeetingapp.exe,2022-08-15 17:10:23.037486,6.16KB,1.36KB,6.16KB/s,1.36KB/s
36,6104,voovmeetingapp.exe,2022-08-15 17:10:23.037486,152.00B,229.00B,152.00B/s,229.00B/s
37,15572,voovmeetingapp.exe,2022-08-15 17:10:23.037486,70.66KB,14.99KB,70.66KB/s,14.99KB/s
37,14920,voovmeetingapp.exe,2022-08-15 17:10:23.037486,7.43KB,1.99KB,7.43KB/s,1.99KB/s
37,18780,voovmeetingapp.exe,2022-08-15 17:10:23.037486,1.16KB,1.73KB,1.16KB/s,1.73KB/s
37,6104,voovmeetingapp.exe,2022-08-15 17:10:23.037486,152.00B,229.00B,152.00B/s,229.00B/s
38,15572,voovmeetingapp.exe,2022-08-15 17:10:23.037486,70.66KB,14.99KB,70.66KB/s,14.99KB/s
38,14920,voovmeetingapp.exe,2022-08-15 17:10:23.037486,7.43KB,1.99KB,7.43KB/s,1.99KB/s
38,18780,voovmeetingapp.exe,2022-08-15 17:10:23.037486,1.16KB,1.73KB,1.16KB/s,1.73KB/s
38,6104,voovmeetingapp.exe,2022-08-15 17:10:23.037486,152.00B,229.00B,152.00B/s,229.00B/s
39,15572,voovmeetingapp.exe,2022-08-15 17:10:23.037486,70.66KB,14.99KB,70.66KB/s,14.99KB/s
39,14920,voovmeetingapp.exe,2022-08-15 17:10:23.037486,7.48KB,2.37KB,7.48KB/s,2.37KB/s
39,18780,voovmeetingapp.exe,2022-08-15 17:10:23.037486,1.16KB,1.73KB,1.16KB/s,1.73KB/s
39,6104,voovmeetingapp.exe,2022-08-15 17:10:23.037486,152.00B,229.00B,152.00B/s,229.00B/s
40,15572,voovmeetingapp.exe,2022-08-15 17:10:23.037486,70.66KB,14.99KB,70.66KB/s,14.99KB/s
40,14920,voovmeetingapp.exe,2022-08-15 17:10:23.037486,7.48KB,2.37KB,7.48KB/s,2.37KB/s
40,18780,voovmeetingapp.exe,2022-08-15 17:10:23.037486,1.16KB,1.73KB,1.16KB/s,1.73KB/s
40,6104,voovmeetingapp.exe,2022-08-15 17:10:23.037486,152.00B,229.00B,152.00B/s,229.00B/s
41,15572,voovmeetingapp.exe,2022-08-15 17:10:23.037486,70.66KB,14.99KB,70.66KB/s,14.99KB/s
41,14920,voovmeetingapp.exe,2022-08-15 17:10:23.037486,7.48KB,2.37KB,7.48KB/s,2.37KB/s
41,18780,voovmeetingapp.exe,2022-08-15 17:10:23.037486,1.16KB,1.73KB,1.16KB/s,1.73KB/s
41,6104,voovmeetingapp.exe,2022-08-15 17:10:23.037486,152.00B,229.00B,152.00B/s,229.00B/s
42,15572,voovmeetingapp.exe,2022-08-15 17:10:23.037486,70.66KB,14.99KB,70.66KB/s,14.99KB/s
42,14920,voovmeetingapp.exe,2022-08-15 17:10:23.037486,7.48KB,2.37KB,7.48KB/s,2.37KB/s
42,18780,voovmeetingapp.exe,2022-08-15 17:10:23.037486,1.16KB,1.73KB,1.16KB/s,1.73KB/s
42,6104,voovmeetingapp.exe,2022-08-15 17:10:23.037486,152.00B,229.00B,152.00B/s,229.00B/s
43,15572,voovmeetingapp.exe,2022-08-15 17:10:23.037486,70.66KB,14.99KB,70.66KB/s,14.99KB/s
43,14920,voovmeetingapp.exe,2022-08-15 17:10:23.037486,7.48KB,2.37KB,7.48KB/s,2.37KB/s
43,18780,voovmeetingapp.exe,2022-08-15 17:10:23.037486,1.16KB,1.73KB,1.16KB/s,1.73KB/s
43,6104,voovmeetingapp.exe,2022-08-15 17:10:23.037486,152.00B,229.00B,152.00B/s,229.00B/s
44,15572,voovmeetingapp.exe,2022-08-15 17:10:23.037486,70.66KB,14.99KB,70.66KB/s,14.99KB/s
44,14920,voovmeetingapp.exe,2022-08-15 17:10:23.037486,7.48KB,2.37KB,7.48KB/s,2.37KB/s
